400
150
[319.6872201876969 275.217421036788]
[318.40473796420156 273.6827421301699]
[317.1799637067636 272.1016260628563]
[316.0405651439537 270.4579196063785]
[315.02297331891316 268.73614526645747]
[314.2138532582579 266.90712237774187]
[313.49932132791946 265.0391169921696]
[312.82347728065884 263.1567687715201]
[312.1600117741741 261.2700219624053]
[311.5428485620547 259.3676262176649]
[310.8910170295668 257.47682859410634]
[310.31702014176767 255.56096649760855]
[309.8326161820761 253.6205147966288]
[309.22436606511326 251.71525056424144]
[308.48023189318735 249.85883888194354]
[307.57225814631477 248.07682213819777]
[306.78683676359765 246.23749800918443]
[305.8657665324687 244.46221503756328]
[304.8767476277867 242.7238705359809]
[303.7798085093084 241.05152949111232]
[302.5840694256625 239.44834265114588]
[301.3006158687931 237.91447597918278]
[299.8569433073392 236.53034826278343]
[298.49810212824 235.06285017079682]
[297.12754764470264 233.6062855798309]
[295.6619996615934 232.2453413821488]
[294.24321587514476 230.83571286111555]
[292.9399278050414 229.318663024648]
[291.497303344991 227.9334429456482]
[290.17820864134933 226.4301169122062]
[289.2655288569748 224.65050582795374]
[288.82097252415144 222.70053924697174]
[288.71786415881843 220.70319884909304]
[288.740727611582 218.703329537731]
[288.54622629749315 216.71280969637854]
[288.30556790567664 214.7273416058648]
[288.0113380505461 212.74910279511676]
[287.84546276608387 210.75599331744007]
[287.79928782322384 208.75652641982663]
[287.847176851128 206.7570998417782]
[287.78886020256414 204.75795023044333]
[287.5773630883431 202.7691644273272]
[287.50377800433034 200.77051857690475]
[287.4889227667163 198.77057374718686]
[287.26241045375036 196.78344210281227]
[286.85470141617475 194.82543971755348]
[286.2806823463917 192.9095842669713]
[285.94281841460645 190.9383288386722]
[285.40013241533495 189.0133634088022]
[284.93802114948016 187.06748232868193]
[284.6385033093643 185.0900372438686]
[284.2106722947226 183.13633291032409]
[283.6680128372509 181.21135999799088]
[283.1884167325808 179.26971441334234]
[282.4622126867389 177.40621563850965]
[281.8666196253123 175.4969569066505]
[281.4327878383722 173.5445763134668]
[281.1820587366028 171.5603548244374]
[280.564390635926 169.6581229465092]
[279.75871771630534 167.82757899822775]
[278.70903013924874 166.12518186754028]
[277.7203130257577 164.38666569865086]
[276.84799408952824 162.58692691941218]
[275.9293672123548 160.81037839473447]
[275.1091734664285 158.9862944550148]
[274.11898590210467 157.24861537432747]
