20
150
[98.706126600691 491.4654477023352]
[100.57584190339566 490.7554021496895]
[102.42250839067515 489.9874028757583]
[104.27370005749586 489.2303761835647]
[106.07912172519909 488.36988062762754]
[107.82374550631442 487.3919809076322]
[109.59024491517752 486.4541750436677]
[111.33987859141706 485.4852674118635]
[113.01821780321649 484.39752778762596]
[114.67048750561369 483.2705828774638]
[116.33339429394852 482.1593938686494]
[117.97670472176159 481.01942420333336]
[119.58636246800927 479.83241032812174]
[121.2207010841534 478.6796149049091]
[122.91502488376443 477.61694521866053]
[124.66026723494713 476.6401498789715]
[126.45711378510342 475.76188882712444]
[128.22603631775488 474.8286615914107]
[129.94713616384175 473.8099293793944]
[131.67227581931556 472.798053315288]
[133.4465124291534 471.8749691087764]
[135.10856393772056 470.7625012292987]
[136.61921981850023 469.4518072109001]
[138.22267714807552 468.2564308717369]
[139.7683610184391 466.9872337346073]
[141.22053732494433 465.6120304860564]
[142.540015807718 464.1090412866617]
[143.83855806105444 462.5879272158899]
[145.01451649436135 460.97017514491785]
[146.2702821488717 459.41355938598684]
[147.49574707711164 457.83297857196504]
[148.5953910702648 456.1624148682045]
[149.65402011135606 454.46556350365955]
[150.61721299901254 452.71277730415665]
[151.60753246216976 450.9751733904605]
[152.4500124585081 449.16127497660995]
[153.4339904282157 447.4200721294006]
[154.58870917369737 445.7870918420629]
[155.9229360904965 444.29717958475095]
[157.145349687346 442.71423770387304]
[158.56672032564896 441.30721762279023]
[159.91919250121882 439.8338476711795]
[161.30373162539885 438.39056966136474]
[162.53105766355017 436.81143356967544]
[163.80715538068281 435.27144181114915]
[165.3040562485177 433.94506034570446]
[166.77712185155414 432.5922566906418]
[168.2458002990701 431.2346913633731]
[169.6110880999323 429.7731889785592]
[170.86407657879593 428.2143368778662]
[172.0465611233973 426.60134887363955]
[173.17774868807808 424.95198090574655]
[174.15208902900585 423.20536678120715]
[175.21700448170046 421.51245358833154]
[176.20681417284382 419.7745592373082]
[177.24521004610986 418.06525118713586]
[178.65818553619684 416.64980063539855]
[179.9859987806441 415.1541696689264]
[181.30116003087315 413.64740131051957]
[182.72196035655404 412.2398053334917]
[184.058797642822 410.7522348074178]
[185.31317885804506 409.1945031980269]
[186.1439378259395 407.3752067578437]
[187.11738877278484 405.6280967858941]
[188.00101815696829 403.833884114161]
[188.90606339205053 402.05037826262725]
[190.15173401126364 400.4856723131181]
[191.4156172617759 398.93564033632714]
[192.77327393145922 397.4670463259674]
[193.99747906047443 395.8854895605958]
[195.14301911776263 394.24605734877724]
[196.18395644682315 392.5382958089338]
[196.86408665799186 390.6574920190994]
[197.28400166084597 388.70207099272733]
[197.74523833259653 386.75598242006873]
[198.5483359305093 384.9243071627628]
[199.5344998725528 383.1843414506256]
[200.40743355057245 381.3849007614727]
[201.49248847642312 379.7048246298979]
[202.71511202306195 378.1220449032132]
[204.065012736807 376.6463186199782]
[205.33260279948948 375.0993165407977]
[206.51875134341648 373.48902103011034]
[207.46361047542237 371.7262841749147]
[208.41582337186352 369.9675088624171]
[209.19236235593556 368.12441711043715]
[209.73085661823572 366.1982748702405]
[210.16774748147301 364.2465765396525]
[210.63608006294655 362.3021834227314]
[210.9113880356106 360.32122266587936]
[211.20597820569023 358.3430374794794]
[211.55420198360005 356.37358572823024]
[211.72815838568297 354.38116529815676]
[212.3780548388589 352.489701684933]
[213.14303126490617 350.6417809432366]
[213.9829176416861 348.8266801542721]
[214.67947314436933 346.9518973850741]
