=========== Grouping Data =============
---- Parameters: 
epsilon = 10.0
delta   = 3.5
m       = 3
---- Groups: 
"Group {55,271,224,44,3,22,213,293} on [18.77,23.45]"
"Group {44,3,22,213,293,55,224,231} on [41.81,50.89]"
"Group {34,218,261,278,101,50,153,172} on [13.51,17.87]"
"Group {34,218,261,278,101,153,172,26} on [15.09,18.71]"
"Group {86,121,123,132,159,243,282,287} on [0.00,3.65]"
"Group {30,86,123,132,119,122,189,264} on [7.99,11.67]"
"Group {101,281,67,34,218,261,278,172} on [24.95,29.78]"
"Group {34,281,67,126,212,139,232,116} on [43.03,47.64]"
"Group {264,81,115,207,33,49,136,146} on [31.89,49.24]"
"Group {49,136,72,284,185,299,186,81} on [68.26,73.24]"
"Group {280,151,80,145,77,98,59,221} on [48.07,54.23]"
"Group {46,240,271,268,4,36,37,294} on [59.90,63.59]"
"Group {19,35,39,42,54,120,175,277} on [0.00,4.22]"
"Group {57,146,8,60,180,211,163,254} on [82.75,106.84]"
"Group {57,146,8,60,180,211,163,186} on [110.58,126.75]"
"Group {187,138,127,135,276,2,61,191} on [61.98,74.26]"
"Group {6,155,270,196,94,173,158,91} on [19.37,23.16]"
"Group {6,155,270,196,173,91,168,285} on [19.66,23.19]"
"Group {140,58,165,229,128,250,25,148} on [30.49,34.53]"
"Group {194,290,196,16,88,103,12,178} on [49.46,68.27]"
"Group {130,176,16,88,103,12,178,1} on [59.62,108.97]"
"Group {281,67,139,232,116,188,29,296} on [46.57,68.20]"
"Group {65,69,281,67,153,269,256,288} on [72.12,77.47]"
"Group {50,21,118,228,193,17,112,134} on [80.00,86.69]"
"Group {288,193,21,118,228,17,112,134} on [96.43,100.67]"
"Group {288,21,118,228,17,112,134,52} on [117.73,127.92]"
"Group {192,21,118,228,17,112,134,52} on [121.10,135.40]"
"Group {245,77,98,151,59,221,248,45} on [62.15,70.37]"
"Group {14,41,156,190,231,76,51,31} on [106.21,112.42]"
"Group {14,41,156,190,231,51,77,98} on [108.73,114.84]"
"Group {14,41,156,231,51,77,98,106} on [113.89,119.32]"
"Group {144,70,173,62,102,38,174,260} on [74.38,78.46]"
"Group {144,38,174,10,169,260,177,227} on [85.60,91.08]"
"Group {144,38,174,10,169,177,166,292} on [86.96,91.82]"
"Group {7,53,40,75,202,210,275,152} on [30.72,34.42]"
"Group {75,258,129,7,202,210,275,152} on [37.24,42.43]"
"Group {125,24,230,32,113,238,257,259} on [37.60,51.93]"
"Group {249,125,230,32,113,238,257,259} on [42.34,54.73]"
"Group {75,258,129,7,152,202,210,275} on [43.19,51.32]"
"Group {173,62,97,1,152,105,70,7} on [135.30,141.11]"
"Group {235,79,97,152,105,70,166,292} on [142.20,146.44]"
"Group {97,152,105,70,166,292,173,62} on [145.17,149.00]"
"Group {239,110,289,15,24,202,210,275} on [64.65,68.69]"
"Group {42,277,90,109,171,238,110,289} on [78.33,82.11]"
"Group {291,124,138,2,61,191,179,249} on [109.35,123.13]"
"Group {23,120,187,127,135,276,255,289} on [123.02,126.54]"
"Group {30,86,119,122,189,157,203,234} on [22.24,108.70]"
"Group {182,204,119,122,189,33,222,63} on [105.24,110.77]"
"Group {214,182,204,63,43,83,252,223} on [122.99,132.58]"
"Group {284,3,22,180,211,213,293} on [1.84,14.97]"
"Group {115,207,33,157,203,234,11} on [7.82,13.50]"
"Group {15,20,96,166,170,184,178} on [0.50,7.48]"
"Group {12,108,6,155,168,270,285} on [2.39,15.44]"
"Group {34,218,261,278,101,153,172} on [13.51,18.71]"
"Group {34,218,261,278,153,172,26} on [15.09,21.41]"
"Group {121,123,132,159,243,282,287} on [0.00,3.65]"
"Group {30,86,121,123,132,282,287} on [0.00,4.01]"
"Group {141,236,241,49,136,146,243} on [16.91,26.44]"
"Group {30,86,123,119,122,189,264} on [7.99,20.77]"
"Group {101,281,67,218,261,278,172} on [24.95,31.53]"
"Group {34,281,67,218,261,278,172} on [30.75,38.34]"
"Group {218,261,278,172,101,192,26} on [59.09,63.86]"
"Group {34,281,67,212,139,232,116} on [43.03,47.95]"
"Group {44,3,22,213,293,55,224} on [41.81,70.21]"
"Group {146,49,136,8,60,180,211} on [63.47,70.23]"
"Group {49,136,72,284,185,299,186} on [67.02,80.03]"
"Group {46,240,271,268,4,36,37} on [57.84,63.59]"
"Group {46,240,271,4,36,37,294} on [59.90,67.91]"
"Group {35,39,42,54,120,175,277} on [0.00,4.22]"
"Group {19,35,39,42,54,120,175} on [0.00,4.90]"
"Group {132,222,121,282,287,265,131} on [56.44,60.91]"
"Group {57,146,8,60,180,211,163} on [82.75,126.75]"
"Group {35,39,54,120,175,143,251} on [10.03,13.98]"
"Group {39,120,143,251,100,209,200} on [24.79,29.59]"
"Group {53,40,75,279,202,210,275} on [20.76,28.97]"
"Group {38,142,206,129,181,154,289} on [15.17,19.85]"
"Group {6,155,270,196,91,168,285} on [19.66,24.87]"
"Group {9,17,25,65,112,134,288} on [0.00,3.80]"
"Group {140,58,165,229,128,250,25} on [30.28,34.53]"
"Group {140,148,117,58,165,229,250} on [44.74,50.74]"
"Group {13,1,144,114,162,94,158} on [23.09,32.60]"
"Group {13,94,174,260,38,181,208} on [30.82,37.14]"
"Group {154,6,155,270,174,260,181} on [35.41,39.58]"
"Group {38,154,6,155,270,174,260} on [38.16,48.54]"
"Group {196,194,290,16,88,103,12} on [38.46,45.25]"
"Group {196,16,88,103,12,173,178} on [47.37,58.47]"
"Group {158,114,162,219,225,147,233} on [111.86,116.15]"
"Group {196,16,88,103,12,178,1} on [49.66,78.38]"
"Group {142,206,168,285,181,84,217} on [79.76,86.30]"
"Group {16,88,103,12,178,1,154} on [61.69,109.30]"
"Group {266,84,16,88,103,12,154} on [111.28,115.18]"
"Group {266,16,88,103,12,154,178} on [117.28,129.93]"
"Group {65,69,281,67,153,269,256} on [69.72,77.47]"
"Group {65,69,281,67,153,256,288} on [72.12,83.27]"
"Group {21,118,228,193,17,112,134} on [80.00,87.97]"
"Group {288,21,118,228,17,112,134} on [96.43,127.92]"
"Group {21,118,228,17,112,134,52} on [117.73,135.40]"
"Group {17,112,134,58,165,229,288} on [128.68,149.00]"
"Group {263,123,136,226,19,64,137} on [128.95,133.52]"
"Group {14,41,156,190,231,76,51} on [106.21,113.79]"
"Group {14,41,156,231,51,77,98} on [108.73,119.32]"
"Group {144,70,173,62,102,38,174} on [74.38,78.90]"
"Group {144,198,38,174,10,169,260} on [81.43,87.86]"
"Group {144,38,174,10,169,260,177} on [85.35,91.08]"
"Group {38,174,10,169,177,260,227} on [92.40,97.46]"
"Group {38,174,260,227,144,20,242} on [104.46,112.27]"
"Group {53,40,75,202,210,275,152} on [29.63,34.42]"
"Group {7,53,40,202,210,275,152} on [30.72,40.51]"
"Group {125,230,32,113,238,257,259} on [37.60,54.73]"
"Group {75,253,202,210,275,170,184} on [56.31,60.70]"
"Group {130,176,194,290,235,97,1} on [127.70,132.29]"
"Group {235,97,152,105,70,166,292} on [142.20,148.09]"
"Group {277,202,210,275,90,109,175} on [95.14,104.07]"
"Group {75,91,125,32,113,257,215} on [110.26,115.22]"
"Group {124,23,187,138,127,135,276} on [91.86,96.63]"
"Group {291,124,138,2,61,191,179} on [108.16,123.13]"
"Group {23,120,187,127,135,276,289} on [123.02,132.96]"
"Group {182,204,119,122,189,33,222} on [101.92,110.77]"
"Group {159,236,121,282,287,265,132} on [98.52,124.32]"
"Group {182,204,119,122,33,222,63} on [105.24,124.37]"
"Group {182,204,63,43,83,252,223} on [116.52,132.58]"
"Group {214,57,146,8,60,180,211} on [137.63,147.76]"
"Group {131,207,30,86,157,203,234} on [70.32,127.82]"
"Group {129,85,95,48,107,170,184} on [85.39,93.12]"
"Group {170,184,267,35,15,171,143} on [95.97,100.02]"
"Group {267,100,209,202,210,275,39} on [137.97,149.00]"
"Group {129,54,170,184,15,171,143} on [98.55,102.32]"
"Group {129,170,184,15,143,171,251} on [104.07,107.90]"
"Group {129,170,184,15,171,251,141} on [105.95,116.48]"
"Group {32,113,238,257,259,272} on [0.00,19.03]"
"Group {8,60,119,122,189,264} on [0.00,4.01]"
"Group {33,157,186,203,223,234} on [0.00,8.45]"
"Group {70,181,142,154,206,289} on [2.71,8.31]"
"Group {15,20,96,166,170,184} on [0.00,7.48]"
"Group {15,20,96,170,184,178} on [0.50,8.46]"
"Group {108,6,155,168,270,285} on [1.35,15.44]"
"Group {106,150,156,41,51,99} on [8.11,11.99]"
